Color,Strand Index,Leg Index,Length (m),Length (pixels),Start Index,End Index,Start Index This Strand,End Index This Strand
Light Green,0,0,1.75,52,0,51,0,51
Light Green,0,1,3,90,52,142,90,179
Light Green,0,2,1.75,52,143,195,142,193
Light Green,0,3,1.75,52,196,248,194,245
Light Green,0,4,1.75,52,249,301,246,297
Light Green,0,5,1.75,52,302,354,298,349
Light Green,0,6,1.75,52,355,407,350,401
Light Green,0,7,1.75,52,408,460,402,453
Light Green,0,8,3,90,461,551,492,581
Light Blue,1,0,1.75,52,552,604,0,51
Light Blue,1,1,1.75,52,605,657,52,103
Light Blue,1,2,1.75,52,658,710,104,155
Light Blue,1,3,1.5,45,711,756,149,193
Light Blue,1,4,1.5,45,757,802,194,238
Light Blue,1,5,1.5,45,803,848,239,283
Light Blue,1,6,1.5,45,849,894,284,328
Light Blue,1,7,1.5,45,895,940,329,373
Light Blue,1,8,1.5,45,941,986,374,418
Purple,2,0,1.75,52,987,1039,0,51
Purple,2,1,1.75,52,1040,1092,52,103
Purple,2,2,1.75,52,1093,1145,104,155
Purple,2,3,1.75,52,1146,1198,156,207
Purple,2,4,1.75,52,1199,1251,208,259
Purple,2,5,1.75,52,1252,1304,260,311
Purple,2,6,1.75,52,1305,1357,312,363
Purple,2,7,1.75,52,1358,1410,364,415
Yellow,3,0,1.75,52,1411,1463,0,51
Yellow,3,1,2,60,1464,1524,60,119
Yellow,3,2,2,60,1525,1585,120,179
Yellow,3,3,1.5,45,1586,1631,165,209
Yellow,3,4,1.5,45,1632,1677,210,254
Yellow,3,5,1.5,45,1678,1723,255,299
Yellow,3,6,1.5,45,1724,1769,300,344
Yellow,3,7,1.5,45,1770,1815,345,389
Yellow,3,8,1.5,45,1816,1861,390,434
Red,4,0,2,60,1862,1922,0,59
Red,4,1,1.75,52,1923,1975,52,103
Red,4,2,1.75,52,1976,2028,104,155
Red,4,3,1.75,52,2029,2081,156,207
Red,4,4,1.75,52,2082,2134,208,259
Red,4,5,1.75,52,2135,2187,260,311
Red,4,6,1.75,52,2188,2240,312,363
Red,4,7,0.91,27,2241,2268,339,365
Dark Blue,5,0,1.75,52,2269,2321,0,51
Dark Blue,5,1,1.75,52,2322,2374,52,103
Dark Blue,5,2,1.75,52,2375,2427,104,155
Dark Blue,5,3,1.5,45,2428,2473,149,193
Dark Blue,5,4,1.5,45,2474,2519,194,238
Dark Blue,5,5,1.5,45,2520,2565,239,283
Dark Blue,5,6,1.5,45,2566,2611,284,328
Dark Blue,5,7,1.5,45,2612,2657,329,373
Dark Blue,5,8,1.5,45,2658,2703,374,418
Dark Blue,5,9,1.75,52,2704,2756,426,477
Orange,6,0,1.75,52,2757,2809,0,51
Orange,6,1,1.75,52,2810,2862,52,103
Orange,6,2,1.5,45,2863,2908,97,141
Orange,6,3,1.5,45,2909,2954,142,186
Orange,6,4,1.5,45,2955,3000,187,231
Orange,6,5,1.5,45,3001,3046,232,276
Orange,6,6,1.5,45,3047,3092,277,321
Orange,6,7,1.5,45,3093,3138,322,366
Dark Green,7,0,1.75,52,3139,3191,0,51
Dark Green,7,1,3,90,3192,3282,90,179
Dark Green,7,2,1.75,52,3283,3335,142,193
Dark Green,7,3,1.75,52,3336,3388,194,245
Dark Green,7,4,1.75,52,3389,3441,246,297
Dark Green,7,5,1.75,52,3442,3494,298,349
Dark Green,7,6,1.75,52,3495,3547,350,401
Dark Green,7,7,1.75,52,3548,3600,402,453
Dark Green,7,8,3,90,3601,3691,492,581
