strand_index,shape_index,length,lat1,lon1,lat2,lon2,start_index,end_index
0,0,82,0,14.6,0,63.8,0,81
0,0,44,0,63.8,22.5,53,82,125
0,0,43,22.5,53,22.5,14.6,126,168
0,1,43,23.5,14.6,23.5,54,169,211
0,1,43,23.5,54,46,59.3,212,254
0,1,43,46,59.3,60,36,255,297
0,2,43,61,36,47,59.3,298,340
0,2,48,47,59.3,47,84.7,341,388
0,2,49,47,84.7,60,108,389,437
0,2,43,60,108,80,108,438,480
0,2,60,80,108,80,36,481,540
1,3,31,5,76.8,22.5,83.2,695,725
1,3,31,22.5,83.2,40,78.8,726,756
1,3,36,40,78.8,40,65.2,757,792
1,3,30,40,65.2,22.5,60.8,793,822
1,3,31,22.5,60.8,5,67.2,823,853
1,3,35,5,67.2,5,76.8,854,888
1,4,43,0,79.2,22.5,90,889,931
1,4,44,22.5,90,45,84.7,932,975
1,4,48,45,84.7,45,59.3,976,1023
1,4,43,45,59.3,22.5,54,1024,1066
1,4,44,22.5,54,0,64.8,1067,1110
1,4,48,0,64.8,0,79.2,1111,1158
1,5,43,0,80.2,22.5,91,1159,1201
1,5,53,22.5,91,22.5,125,1202,1254
1,5,40,22.5,125,0,135.8,1255,1294
1,5,95,0,135.8,0,80.2,1295,1389
2,6,28,22.5,132.8,5,139.2,1390,1417
2,6,25,5,139.2,5,148.8,1418,1442
2,6,32,5,148.8,22.5,155.2,1443,1474
2,6,28,22.5,155.2,40,150.8,1475,1502
2,6,33,40,150.8,40,137.2,1503,1535
2,6,32,40,137.2,22.5,132.8,1536,1567
2,7,39,22.5,126,0,136.8,1568,1606
2,7,43,0,136.8,0,151.2,1607,1649
2,7,43,0,151.2,22.5,162,1650,1692
2,7,42,22.5,162,45,156.7,1693,1734
2,7,41,45,156.7,45,131.3,1735,1775
2,7,40,45,131.3,22.5,126,1776,1815
2,8,45,23.5,125,45,130.3,1816,1860
2,8,55,45,130.3,59,108,1861,1915
2,8,49,59,108,45,85.7,1916,1964
2,8,44,45,85.7,23.5,91,1965,2008
2,8,53,23.5,91,23.5,125,2009,2061
3,9,32,22.5,227.2,40,222.8,2085,2116
3,9,32,40,222.8,40,209.2,2117,2148
3,9,26,40,209.2,22.5,204.8,2149,2174
3,9,26,22.5,204.8,5,211.2,2175,2200
3,9,28,5,211.2,5,220.8,2201,2228
3,9,28,5,220.8,22.5,227.2,2229,2256
3,10,45,22.5,234,45,228.7,2257,2301
3,10,41,45,228.7,45,203.3,2302,2342
3,10,41,45,203.3,22.5,198,2343,2383
3,10,44,22.5,198,0,208.8,2384,2427
3,10,38,0,208.8,0,223.2,2428,2465
3,10,40,0,223.2,22.5,234,2466,2505
3,11,53,23.5,235,23.5,269,2506,2558
3,11,44,23.5,269,45,274.3,2559,2602
3,11,60,45,274.3,59,252,2603,2662
3,11,55,59,252,45,229.7,2663,2717
3,11,45,45,229.7,23.5,235,2718,2762
4,12,31,22.5,276.8,5,283.2,2780,2810
4,12,35,5,283.2,5,292.8,2811,2845
4,12,30,5,292.8,22.5,299.2,2846,2875
4,12,31,22.5,299.2,40,294.8,2876,2906
4,12,35,40,294.8,40,281.2,2907,2941
4,12,30,40,281.2,22.5,276.8,2942,2971
4,13,42,22.5,270,0,280.8,2972,3013
4,13,47,0,280.8,0,295.2,3014,3060
4,13,44,0,295.2,22.5,306,3061,3104
4,13,46,22.5,306,45,300.7,3105,3150
4,13,50,45,300.7,45,275.3,3151,3200
4,13,44,45,275.3,22.5,270,3201,3244
4,14,53,21.5,269,21.5,235,3245,3297
4,14,40,21.5,235,1,224.2,3298,3337
4,14,95,1,224.2,1,279.8,3338,3432
4,14,42,1,279.8,21.5,269,3433,3474
5,15,81,0,345.4,0,296.2,3475,3555
5,15,44,0,296.2,22.5,307,3556,3599
5,15,38,22.5,307,22.5,342,3600,3637
5,16,38,23.5,342,23.5,306,3638,3675
5,16,46,23.5,306,45,301.7,3676,3721
5,16,43,45,301.7,45,342,3722,3764
5,17,43,46,342,46,301.7,3765,3807
5,17,50,46,301.7,46,276.3,3808,3857
5,17,60,46,276.3,60,253,3858,3917
5,17,43,60,253,80,252,3918,3960
5,17,60,80,252,80,324,3961,4020
6,18,38,60,181,46,203.3,4170,4207
6,18,41,46,203.3,46,228.7,4208,4248
6,18,55,46,228.7,59,252,4249,4303
6,18,43,59,252,79,252,4304,4346
6,18,45,79,252,79,181,4347,4391
6,18,62,79,181,60,181,4392,4453
6,19,62,60,179,79,179,4454,4515
6,19,45,79,179,79,107,4516,4560
6,19,44,79,107,60,107,4561,4604
6,19,41,60,107,46,131.3,4605,4645
6,19,42,46,131.3,46,156.7,4646,4687
6,19,38,46,156.7,60,179,4688,4725
7,20,43,0,152.2,22.5,163,4865,4907
7,20,29,22.5,163,22.5,197,4908,4936
7,20,44,22.5,197,0,207.8,4937,4980
7,21,29,23.5,163,23.5,197,4981,5009
7,21,41,23.5,197,45,202.3,5010,5050
7,21,38,45,202.3,59,180,5051,5088
7,21,38,59,180,45,157.7,5089,5126
7,21,42,45,157.7,23.5,163,5127,5168
