strand_index,shape_index,length,gap_after,start_index,end_index
0,0,450,0,0,449
1,1,450,0,700,1149
2,2,9,2,1400,1408
2,3,12,2,1400,1411
2,4,17,2,1414,1430
2,5,22,4,1433,1454
2,6,25,2,1459,1483
2,7,25,4,1486,1510
2,8,22,2,1515,1536
2,9,21,2,1539,1559
2,10,20,2,1562,1581
2,11,19,3,1584,1602
2,12,19,4,1606,1624
2,13,19,3,1629,1647
2,14,20,3,1651,1670
2,15,18,4,1674,1691
2,16,20,4,1696,1715
2,17,19,3,1720,1738
2,18,20,5,1742,1761
2,19,19,4,1767,1785
2,20,150,0,1790,1939
3,21,9,1,1940,1948
3,22,12,3,2100,2111
3,23,17,2,2115,2131
3,24,21,4,2134,2154
3,25,25,1,2159,2183
3,26,25,3,2185,2209
3,27,23,1,2213,2235
3,28,20,3,2237,2256
3,29,19,3,2260,2278
3,30,19,3,2282,2300
3,31,19,4,2304,2322
3,32,19,3,2327,2345
3,33,20,3,2349,2368
3,34,19,3,2372,2390
3,35,20,4,2394,2413
3,36,19,4,2418,2436
3,37,19,5,2441,2459
3,38,20,4,2465,2484
3,39,150,0,2489,2638
4,40,28,3,2639,2666
4,41,28,2,2800,2827
4,42,29,2,2830,2858
4,43,30,3,2861,2890
4,44,31,3,2894,2924
4,45,30,4,2928,2957
4,46,30,3,2962,2991
4,47,31,4,2995,3025
4,48,30,7,3030,3059
4,49,30,4,3067,3096
4,50,29,5,3101,3129
4,51,28,6,3135,3162
4,52,28,5,3169,3196
4,53,28,5,3202,3229
4,54,28,5,3235,3262
4,55,28,5,3268,3295
4,56,28,5,3301,3328
4,57,28,5,3334,3361
5,58,300,0,3367,3666
5,59,200,0,3500,3699
5,60,200,0,3700,3899
6,61,300,0,3900,4199
6,62,200,0,4200,4399
6,63,200,0,4400,4599
