strand_index,shape_index,index_in_strand,length,start_index,end_index
0,0,0,150,0,149
0,1,1,150,160,309
0,2,2,150,310,459
0,3,3,150,470,619
1,4,0,150,750,899
1,5,1,150,910,1059
1,6,2,150,1060,1209
1,7,3,150,1220,1369
2,8,0,150,1500,1649
2,9,1,150,1660,1809
2,10,2,150,1810,1959
2,11,3,150,1970,2119
3,12,0,150,2250,2399
3,13,1,150,2410,2559
3,14,2,150,2560,2709
3,15,3,150,2720,2869
4,16,0,180,3000,3179
4,17,1,180,3190,3369
4,18,2,180,3380,3559
4,19,3,180,3570,3749
5,20,0,180,3750,3929
5,21,1,180,3940,4119
5,22,2,180,4130,4309
5,23,3,180,4320,4499
